loan_id,member_id,loan_type,original_amount,interest_rate,term_months,origination_date,loan_status
LN-0000028,MBR-001108,Mortgage,233181.68,4.14,180,2019-09-13,Paid Off
LN-0000029,MBR-000279,Mortgage,82403.23,7.03,240,2023-02-13,Current
LN-0000030,MBR-001113,Personal Loan,21573.04,15.98,12,2019-12-02,Current
LN-0000031,MBR-000096,Auto Loan,56060.36,9.58,48,2018-02-04,Paid Off
LN-0000032,MBR-000160,Auto Loan,64048.29,16.4,48,2018-01-05,Paid Off
LN-0000033,MBR-000463,Home Equity,89348.65,6.12,120,2019-11-21,Current
LN-0000034,MBR-000723,Student Loan,44332.47,5.31,240,2023-06-26,Delinquent
LN-0000035,MBR-000230,Mortgage,158231.32,4.67,360,2024-03-05,Current
LN-0000036,MBR-000964,Auto Loan,47371.72,9.03,36,2018-07-26,Delinquent
LN-0000037,MBR-000443,Auto Loan,63808.1,12.33,48,2023-09-14,Paid Off
LN-0000038,MBR-000680,student loan,28324.38,4.27,120,2023-10-06,Current
LN-0000039,MBR-000364,Mortgage,307565.51,5.41,360,2020-07-25,Current
LN-0000040,MBR-000571,Personal Loan,7690.27,6.57,24,2023-11-20,Delinquent
LN-0000041,MBR-001183,Mortgage,152624.74,3.05,180,2018-02-23,Current
LN-0000042,MBR-000306,Auto Loan,15478.43,13.9,72,2022-01-11,Default
LN-0000043,MBR-000398,Auto Loan,52280.23,5.39,36,2022-09-08,Current
LN-0000044,MBR-000118,Personal Loan,20033.13,6.85,48,2023-02-15,Current
LN-0000045,MBR-000460,Auto Loan,12049.15,3.83,48,2024-09-16,Current
LN-0000046,MBR-000152,Personal Loan,10074.88,12.32,24,2024-07-12,Delinquent
LN-0000047,MBR-000540,Auto Loan,63025.57,11.35,60,2018-10-01,Current
LN-0000048,MBR-000416,Student Loan,36484.97,3.7,120,2022-02-11,Current
LN-0000049,MBR-000806,Personal Loan,19075.43,16.42,48,2020-08-15,Delinquent
LN-0000050,MBR-000807,Personal Loan,2450.67,11.93,36,2021-05-15,Delinquent
LN-0000051,MBR-000628,Mortgage,149768.87,4.01,240,2021-11-09,Current
LN-0000052,MBR-000266,Credit Card,6087.43,9.79,0,2018-12-29,Current
LN-0000053,MBR-000282,Student Loan,60413.3,17.14,240,2021-08-06,Current
LN-0000054,MBR-000081,Mortgage,262407.16,7.44,360,2019-02-06,Delinquent
LN-0000055,MBR-000638,Student Loan,58341.18,13.04,240,2022-04-07,Current
LN-0000056,MBR-000275,Home Equity,144924.77,7.59,120,2020-02-04,Paid Off
LN-0000057,MBR-000503,Auto Loan,19531.49,15.32,48,2018-11-14,Current
LN-0000058,MBR-000831,Auto Loan,63867.86,7.37,72,2022-05-19,Paid Off
LN-0000059,MBR-000929,Personal Loan,18090.55,13.95,36,2021-10-06,Paid Off
LN-0000060,MBR-000968,Student Loan,25314.09,9.11,240,2024-09-01,Delinquent
LN-0000061,MBR-000575,Auto Loan,-18093.74,7.64,36,2024-01-03,Delinquent
LN-0000062,MBR-000628,Mortgage,381463.4,3.83,240,2024-09-06,Current
LN-0000063,MBR-000619,Credit Card,3135.0,15.88,0,2018-02-25,Current
LN-0000064,MBR-000244,Auto Loan,29933.94,17.03,60,2018-08-04,Paid Off
LN-0000065,MBR-000508,Credit Card,2782.49,9.52,0,2021-05-17,Delinquent
LN-0000066,MBR-000928,Mortgage,161403.97,,180,2019-03-04,Paid Off
LN-0000067,MBR-000250,Personal Loan,13739.93,8.67,24,2019-08-05,Paid Off
LN-0000068,MBR-001141,Auto Loan,16915.85,8.76,60,2019-12-23,Current
LN-0000069,MBR-001021,Auto Loan,36341.54,12.82,48,2018-04-14,Delinquent
LN-0000070,MBR-000303,auto loan,33348.45,10.07,72,2022-06-28,Delinquent
LN-0000071,MBR-000571,Student Loan,53427.91,4.18,240,2022-01-02,Delinquent
LN-0000072,MBR-000753,Personal Loan,13459.46,17.77,12,2018-04-14,Paid Off
LN-0000073,MBR-000135,Personal Loan,8674.93,13.11,24,2019-05-07,Current
LN-0000074,MBR-000253,Credit Card,3655.44,9.27,0,2023-07-18,Paid Off
LN-0000075,MBR-000709,Personal Loan,4700.19,14.75,24,2018-04-20,Current
LN-0000076,MBR-000505,Personal Loan,18259.28,17.51,36,2020-05-23,Paid Off
LN-0000077,MBR-000907,Auto Loan,43109.07,16.46,48,2018-01-06,Current
LN-0000078,MBR-000455,Credit Card,3769.78,6.79,0,2018-12-23,Current
LN-0000079,MBR-000101,Mortgage,249872.44,5.3,240,2024-10-22,Current
LN-0000080,MBR-000410,Personal Loan,3368.09,10.63,24,2022-06-12,Current
LN-0000081,MBR-000456,Credit Card,8595.0,11.62,0,2019-01-03,Paid Off
LN-0000082,MBR-000537,Mortgage,175560.14,4.81,180,2021-08-21,Current
LN-0000083,MBR-000444,Student Loan,78685.37,5.55,120,2023-09-14,Current
LN-0000084,MBR-000316,Personal Loan,24769.35,15.94,24,2020-01-25,Current
LN-0000085,MBR-000692,Auto Loan,45397.11,16.55,48,2023-05-16,Default
LN-0000086,MBR-000114,Auto Loan,46969.43,10.63,36,2020-08-25,Current
LN-0000087,MBR-000625,Credit Card,9971.42,8.2,0,2018-10-21,Current
LN-0000088,MBR-000588,Home Equity,45947.21,15.51,120,2022-02-05,Current
LN-0000089,MBR-000741,Personal Loan,14648.25,15.09,12,2022-02-17,Current
LN-0000090,MBR-000701,Personal Loan,7518.86,11.76,12,2024-06-18,Delinquent
LN-0000091,MBR-001121,Personal Loan,20316.49,4.37,12,2019-07-16,Current
LN-0000092,MBR-000146,Mortgage,321250.72,3.43,360,2019-01-03,Current
LN-0000093,MBR-000881,Student Loan,51522.82,10.21,240,2023-02-03,Current
LN-0000094,MBR-000338,Personal Loan,22436.71,6.85,24,2019-06-25,Current
LN-0000095,MBR-000695,Home Equity,145117.69,11.25,120,2024-02-10,Current
LN-0000096,MBR-001171,Student Loan,57371.27,7.98,120,2024-10-04,Current
LN-0000097,MBR-001050,Home Equity,121061.09,12.74,60,2020-08-13,Current
LN-0000098,MBR-000049,credit card,7551.2,8.98,0,2024-04-25,Current
LN-0000099,MBR-000103,Auto Loan,31989.3,11.64,72,2021-06-08,Current
LN-0000100,MBR-001173,Personal Loan,11803.33,7.99,12,2022-09-16,Delinquent
LN-0000101,MBR-000070,Auto Loan,26845.67,3.83,48,2021-12-16,Current
LN-0000102,MBR-000791,Student Loan,47378.47,12.44,180,2022-12-13,Current
LN-0000103,MBR-001166,Home Equity,45069.92,6.49,180,2022-02-28,Current
LN-0000104,MBR-000331,Mortgage,251188.84,6.03,240,2021-05-12,Current
LN-0000105,MBR-001075,Mortgage,287048.71,5.56,240,2022-05-31,Current
LN-0000106,MBR-000677,Credit Card,13182.56,17.16,0,2020-06-25,Current
LN-0000107,MBR-000249,Personal Loan,23272.07,12.04,24,2020-11-24,Current
LN-0000108,MBR-000840,Auto Loan,37972.0,13.3,48,2019-08-22,Current
LN-0000109,MBR-000977,Home Equity,44501.05,11.85,180,2023-11-10,Current
LN-0000110,MBR-000017,Student Loan,62018.66,9.96,120,2019-12-11,Current
LN-0000111,MBR-001063,Personal Loan,7889.57,13.79,48,2022-02-26,Current
LN-0000112,MBR-000077,Auto Loan,10445.91,7.53,72,2021-05-31,Current
LN-0000113,MBR-000112,Credit Card,2550.81,14.19,0,2019-03-13,Current
LN-0000114,MBR-000806,Credit Card,8167.09,12.13,0,2021-09-16,Current
LN-0000115,MBR-001138,Student Loan,77813.93,4.64,240,2024-11-01,Current
LN-0000116,MBR-000388,Auto Loan,26653.6,9.12,36,2018-10-24,Current
LN-0000117,MBR-000608,Credit Card,3262.16,9.41,0,2018-05-18,Default
LN-0000118,MBR-000833,Auto Loan,14143.54,7.87,72,2024-07-01,Current
LN-0000119,MBR-001107,Credit Card,973.71,14.98,0,2019-07-31,Current
LN-0000120,MBR-000314,Credit Card,9980.37,12.88,0,2022-11-30,Paid Off
LN-0000121,MBR-000619,Auto Loan,26156.61,5.75,60,2018-07-12,Current
LN-0000122,MBR-000801,Personal Loan,11762.94,8.38,24,2020-03-25,Current
LN-0000123,MBR-000020,Auto Loan,-15663.2,,36,2020-06-01,Current
LN-0000124,MBR-000837,Personal Loan,2625.3,13.54,48,2023-02-12,Current
LN-0000125,MBR-000980,Mortgage,208528.18,6.66,180,2018-08-21,Current
LN-0000126,MBR-000355,Student Loan,60103.71,11.56,180,2023-06-21,Current
LN-0000127,MBR-000270,Auto Loan,38790.47,10.15,36,2019-01-08,Current
LN-0000128,MBR-000600,Auto Loan,29278.09,9.87,72,2020-11-26,Delinquent
LN-0000129,MBR-000976,Mortgage,335664.01,4.45,240,2022-08-23,Current
LN-0000130,MBR-000541,Auto Loan,28506.36,11.35,72,2019-09-24,Delinquent
LN-0000131,MBR-000132,Auto Loan,26049.5,4.08,60,2022-04-28,Current
LN-0000132,MBR-000302,Student Loan,41410.08,12.59,180,2024-06-06,Delinquent
LN-0000133,MBR-000177,Student Loan,13941.94,10.14,240,2018-06-21,Current
LN-0000134,MBR-000103,Home Equity,135265.48,16.53,120,2018-07-22,Default
LN-0000135,MBR-000462,Mortgage,210433.06,5.64,360,2020-10-28,Delinquent
LN-0000136,MBR-000225,Personal Loan,5143.92,5.56,48,2022-05-08,Delinquent
LN-0000137,MBR-000044,Personal Loan,7942.27,5.59,48,2019-12-23,Current
LN-0000138,MBR-000784,Credit Card,3289.19,6.33,0,2024-01-20,Delinquent
LN-0000139,MBR-000038,Personal Loan,21174.83,10.74,36,2018-02-18,Current
LN-0000140,MBR-000774,Credit Card,10423.14,4.53,0,2020-02-16,Delinquent
LN-0000141,MBR-000373,Personal Loan,16231.86,6.53,36,2022-08-24,Current
LN-0000142,MBR-000350,Auto Loan,28445.49,5.73,72,2018-11-26,Paid Off
LN-0000143,MBR-000275,Auto Loan,29026.47,14.01,48,2019-09-11,Current
LN-0000144,MBR-000841,Auto Loan,16643.18,8.11,72,2020-08-10,Current
LN-0000145,MBR-000837,Auto Loan,43478.11,7.8,48,2018-06-25,Current
LN-0000146,MBR-000056,Mortgage,283953.19,3.44,180,2019-03-15,Current
LN-0000147,MBR-001176,Mortgage,394866.84,6.17,180,2018-09-21,Delinquent
LN-0000148,MBR-000355,Credit Card,5895.64,7.79,0,2022-03-06,Current
LN-0000149,MBR-000823,Auto Loan,8480.86,14.57,36,2023-12-15,Current
LN-0000150,MBR-000626,Credit Card,12638.99,13.27,0,2022-05-10,Current
LN-0000151,MBR-001075,Personal Loan,20965.8,11.05,48,2022-07-04,Current
LN-0000152,MBR-000244,Mortgage,347961.57,3.98,360,2020-01-09,Current
LN-0000153,MBR-000367,Auto Loan,18432.24,7.93,36,2018-07-06,Current
LN-0000154,MBR-000231,Auto Loan,35679.06,10.91,36,2019-01-04,Current
LN-0000155,MBR-000569,Mortgage,274933.0,5.93,360,2020-03-26,Current
LN-0000156,MBR-000865,Personal Loan,18700.01,14.3,12,2018-09-13,Current
LN-0000157,MBR-000397,Mortgage,149764.26,3.43,240,2018-07-10,Current
LN-0000158,MBR-000482,Mortgage,80707.07,4.6,360,2019-10-25,Paid Off
LN-0000159,MBR-001157,Credit Card,1405.49,10.04,0,2019-11-03,Delinquent
LN-0000160,MBR-000364,Credit Card,14897.68,6.5,0,2020-04-14,Current
LN-0000161,MBR-000689,Mortgage,406810.94,7.34,240,2019-12-27,Current
LN-0000162,MBR-000223,Auto Loan,12239.98,5.75,48,2020-04-03,Paid Off
LN-0000163,MBR-001041,Home Equity,45213.78,16.52,120,2024-09-23,Delinquent
LN-0000164,MBR-000041,Personal Loan,22495.67,10.65,12,2018-06-27,Current
LN-0000165,MBR-000013,Mortgage,425702.98,5.35,360,2020-12-27,Current
LN-0000166,MBR-000840,Auto Loan,60338.59,13.57,60,2024-08-27,Current
LN-0000167,MBR-000613,Personal Loan,12939.49,14.15,12,2019-09-10,Delinquent
LN-0000168,MBR-001094,Personal Loan,5099.56,16.11,12,2019-07-21,Current
LN-0000169,MBR-000333,Personal Loan,6364.38,7.46,48,2018-02-06,Delinquent
LN-0000170,MBR-000047,Personal Loan,16057.64,5.57,48,2022-09-29,Current
LN-0000171,MBR-000812,Personal Loan,14498.46,11.52,48,2021-06-11,Delinquent
LN-0000172,MBR-001170,Auto Loan,23720.58,17.33,48,2024-10-27,Delinquent
LN-0000173,MBR-000592,Credit Card,8025.32,12.63,0,2022-06-21,Delinquent
LN-0000174,MBR-000600,Credit Card,8238.71,7.35,0,2018-02-10,Delinquent
LN-0000175,MBR-000021,Personal Loan,5101.63,15.62,12,2019-11-03,Current
LN-0000176,MBR-001133,Mortgage,102646.42,6.78,180,2021-01-13,Current
LN-0000177,MBR-000002,Mortgage,279660.87,5.5,360,2018-06-18,Current
LN-0000178,MBR-000971,Auto Loan,56712.8,17.93,60,2022-08-31,Paid Off
LN-0000179,MBR-000759,Student Loan,8543.25,6.59,240,2021-11-13,Delinquent
LN-0000180,MBR-000729,Mortgage,86396.34,7.36,240,2022-05-06,Current
LN-0000181,MBR-000898,Student Loan,54872.48,16.51,180,2022-11-05,Current
LN-0000182,MBR-000040,Home Equity,86660.63,5.85,180,2018-05-24,Current
LN-0000183,MBR-000252,Auto Loan,23468.85,7.79,60,2019-06-23,Current
LN-0000184,MBR-000703,Student Loan,46896.96,16.97,180,2019-11-07,Current
LN-0000185,MBR-000240,Personal Loan,9260.63,12.16,48,2019-07-15,Current
LN-0000186,MBR-000371,Auto Loan,8451.12,6.92,60,2022-12-06,Delinquent
LN-0000187,MBR-000622,Mortgage,333351.69,4.47,360,2020-07-01,Current
LN-0000188,MBR-000475,Mortgage,195639.73,5.2,180,2019-07-16,Current
LN-0000189,MBR-000116,Auto Loan,22200.8,5.35,48,2019-01-10,Paid Off
LN-0000190,MBR-000294,Mortgage,251426.34,3.71,240,2024-01-05,Current
LN-0000191,MBR-000658,Mortgage,143258.6,5.63,240,2019-11-29,Delinquent
LN-0000192,MBR-000832,Auto Loan,36634.35,10.59,36,2023-01-12,Current
LN-0000193,MBR-000097,Personal Loan,15382.87,7.25,48,2021-06-12,Current
LN-0000194,MBR-000290,Auto Loan,57809.17,14.11,60,2019-04-05,Default
LN-0000195,MBR-001170,Personal Loan,7238.98,15.79,24,2018-05-31,Current
LN-0000196,MBR-000256,Mortgage,235875.56,6.93,180,2020-04-03,Current
LN-0000197,MBR-000875,Student Loan,43473.49,10.84,120,2024-03-30,Current
LN-0000198,MBR-000020,Auto Loan,39626.56,6.17,36,2021-07-07,Current
LN-0000199,MBR-000436,Student Loan,59670.39,10.5,240,2018-07-24,Current
LN-0000200,MBR-000980,Auto Loan,23915.33,9.03,36,2023-05-17,Current
LN-0000201,MBR-000134,Student Loan,21836.29,15.3,120,2024-08-04,Current
LN-0000202,MBR-000537,Student Loan,30609.13,12.34,240,2024-07-27,Delinquent
LN-0000203,MBR-001135,Personal Loan,6469.0,3.75,24,2021-10-26,Current
LN-0000204,MBR-001070,Auto Loan,24386.92,12.93,72,2021-02-08,Delinquent
LN-0000205,MBR-000938,Mortgage,242074.96,5.52,240,2023-07-02,Current
LN-0000206,MBR-001062,Home Equity,128749.25,4.24,60,2018-10-20,Current
LN-0000207,MBR-000152,Credit Card,4838.98,11.34,0,2018-12-02,Current
LN-0000208,MBR-000538,Student Loan,65816.39,14.95,120,2022-10-09,Current
LN-0000209,MBR-001072,Auto Loan,18386.84,6.66,36,2020-05-09,Current
LN-0000210,MBR-000168,Mortgage,305609.2,7.44,360,2018-11-23,Current
LN-0000211,MBR-000047,Home Equity,98321.34,16.8,180,2024-06-04,Current
LN-0000212,MBR-000097,Personal Loan,4547.37,15.99,48,2024-07-24,Current
LN-0000213,MBR-000642,Home Equity,-87692.24,3.8,180,2023-03-19,Paid Off
LN-0000214,MBR-000260,Home Equity,17696.65,,60,2024-06-15,Current
LN-0000215,MBR-001091,Auto Loan,40689.8,10.38,48,2021-07-14,Current
LN-0000216,MBR-001088,Personal Loan,13840.28,4.97,12,2018-06-24,Current
LN-0000217,MBR-000945,Auto Loan,11971.69,8.48,72,2020-04-22,Current
LN-0000218,MBR-000715,Mortgage,301846.03,5.56,180,2021-12-17,Current
LN-0000219,MBR-001116,Personal Loan,21971.56,14.39,48,2019-01-06,Current
LN-0000220,MBR-000685,Credit Card,12395.96,6.97,0,2024-05-15,Current
LN-0000221,MBR-000595,Auto Loan,62521.57,12.39,48,2023-09-13,Paid Off
LN-0000222,MBR-000325,Mortgage,236074.96,6.45,240,2022-08-06,Current
LN-0000223,MBR-000774,Credit Card,4218.16,15.35,0,2018-11-10,Current
LN-0000224,MBR-000663,Mortgage,155752.95,5.41,360,2021-05-12,Current
LN-0000225,MBR-000077,Auto Loan,39932.34,3.52,72,2020-05-26,Current
LN-0000226,MBR-001043,Credit Card,4317.81,7.26,0,2023-01-31,Current
LN-0000227,MBR-000433,Student Loan,48150.84,11.84,120,2022-09-10,Current
LN-0000228,MBR-000008,Mortgage,144059.29,5.41,240,2023-09-17,Current
LN-0000229,MBR-000230,Credit Card,3938.38,15.56,0,2024-01-12,Delinquent
LN-0000230,MBR-000545,Credit Card,808.46,17.53,0,2019-03-09,Delinquent
LN-0000231,MBR-000072,Auto Loan,61985.33,12.06,36,2023-09-09,Current
LN-0000232,MBR-001049,auto loan,21340.08,9.37,72,2023-01-16,Current
LN-0000233,MBR-000026,Mortgage,121705.32,7.28,180,2023-10-01,Delinquent
LN-0000234,MBR-000262,Personal Loan,9368.34,14.92,12,2020-12-09,Current
LN-0000235,MBR-000175,Mortgage,347939.63,4.6,240,2019-07-03,Current
LN-0000236,MBR-001014,Home Equity,128246.86,7.45,180,2020-05-31,Current
LN-0000237,MBR-000155,Auto Loan,35515.11,12.43,36,2019-08-15,Current
LN-0000238,MBR-001143,Personal Loan,18865.81,17.75,48,2020-04-18,Current
LN-0000239,MBR-000296,Auto Loan,8797.36,15.57,48,2019-12-08,Current
LN-0000240,MBR-000395,Personal Loan,-13620.17,4.94,48,2020-05-31,Current
LN-0000241,MBR-000348,Auto Loan,61008.12,14.8,36,2024-09-01,Current
LN-0000242,MBR-000278,Auto Loan,28542.29,9.43,36,2018-02-10,Current
LN-0000243,MBR-001014,Auto Loan,27011.69,15.07,36,2018-04-17,Delinquent
LN-0000244,MBR-000071,Home Equity,38174.8,4.86,60,2024-01-24,Delinquent
LN-0000245,MBR-000155,Home Equity,81907.93,6.19,60,2020-11-05,Current
LN-0000246,MBR-000230,Student Loan,13321.95,5.92,120,2023-04-26,Default
LN-0000247,MBR-000297,Credit Card,11513.86,7.75,0,2020-01-23,Current
LN-0000248,MBR-000371,Auto Loan,41499.65,14.45,48,2018-03-11,Current
LN-0000249,MBR-000972,Credit Card,5949.5,3.83,0,2022-09-20,Current
LN-0000250,MBR-000964,Personal Loan,16637.1,12.24,36,2024-04-01,Current
LN-0000251,MBR-000736,Mortgage,209779.56,4.72,180,2019-03-10,Current
LN-0000252,MBR-001191,Student Loan,11818.91,15.18,240,2022-07-16,Paid Off
LN-0000253,MBR-000848,auto loan,39692.15,14.97,72,2019-06-04,Current
LN-0000254,MBR-001077,Auto Loan,34002.63,3.84,48,2022-12-01,Delinquent
LN-0000255,MBR-001172,Auto Loan,24619.83,15.77,48,2018-12-18,Current
LN-0000256,MBR-001084,Student Loan,62640.12,17.16,120,2022-05-29,Current
LN-0000257,MBR-000668,Student Loan,25895.19,7.4,180,2021-01-12,Current
LN-0000258,MBR-001176,Student Loan,-35766.38,7.48,120,2019-08-30,Delinquent
LN-0000259,MBR-001007,Home Equity,115243.39,16.06,120,2021-09-08,Current
LN-0000260,MBR-000038,mortgage,219454.24,6.57,360,2022-07-10,Current
LN-0000261,MBR-001068,Mortgage,367913.62,,180,2020-10-29,Current
LN-0000262,MBR-000190,Personal Loan,19071.25,12.6,24,2019-07-23,Delinquent
LN-0000263,MBR-001090,Student Loan,48287.73,10.17,240,2018-07-03,Current
LN-0000264,MBR-000169,Student Loan,69995.06,,180,2020-11-22,Current
LN-0000265,MBR-001055,Auto Loan,20489.73,9.8,36,2020-09-27,Paid Off
LN-0000266,MBR-000652,Auto Loan,42435.36,12.86,60,2021-09-12,Current
LN-0000267,MBR-000038,Auto Loan,22807.13,15.79,36,2018-10-08,Current
LN-0000268,MBR-000062,Personal Loan,10001.48,11.83,36,2021-03-06,Current
LN-0000269,MBR-000304,Home Equity,27891.22,11.48,120,2018-03-07,Delinquent
LN-0000270,MBR-001039,Auto Loan,15853.05,,72,2024-09-09,Paid Off
LN-0000271,MBR-000801,Auto Loan,38260.07,10.76,36,2023-07-29,Current
LN-0000272,MBR-000735,Mortgage,-151281.75,4.4,180,2021-11-11,Paid Off
LN-0000273,MBR-000194,Student Loan,47001.03,5.52,240,2021-09-21,Current
LN-0000274,MBR-000362,Credit Card,14631.02,8.52,0,2021-03-20,Delinquent
LN-0000275,MBR-000952,Mortgage,161053.41,4.19,240,2018-04-07,Current
LN-0000276,MBR-000178,Auto Loan,49234.16,14.31,48,2020-04-01,Paid Off
LN-0000277,MBR-000875,Auto Loan,-13105.56,3.93,60,2023-12-21,Delinquent
LN-0000278,MBR-000666,Auto Loan,54449.11,16.42,60,2021-07-02,Current
LN-0000279,MBR-000296,Student Loan,36422.14,6.67,240,2021-05-13,Current
LN-0000280,MBR-000485,Auto Loan,36455.57,14.28,48,2021-06-20,Current
LN-0000281,MBR-000864,Auto Loan,64952.87,11.25,48,2021-07-25,Delinquent
LN-0000282,MBR-000376,Personal Loan,24684.78,10.89,48,2022-05-06,Paid Off
LN-0000283,MBR-000267,Auto Loan,12365.54,16.94,72,2022-08-02,Default
LN-0000284,MBR-000601,Personal Loan,20916.86,13.1,12,2020-04-30,Current
LN-0000285,MBR-001046,Personal Loan,14575.01,17.9,24,2019-05-30,Current
LN-0000286,MBR-000630,Home Equity,133625.19,14.43,180,2019-09-17,Paid Off
LN-0000287,MBR-000518,Mortgage,-357947.69,3.74,240,2024-06-12,Delinquent
LN-0000288,MBR-000580,Mortgage,112538.32,3.56,360,2023-07-13,Delinquent
LN-0000289,MBR-000511,Auto Loan,46115.34,6.89,48,2021-10-13,Delinquent
LN-0000290,MBR-000367,Home Equity,86311.74,7.52,120,2024-01-08,Current
LN-0000291,MBR-000712,Credit Card,12340.1,17.9,0,2019-01-09,Current
LN-0000292,MBR-000572,Auto Loan,49393.82,7.08,36,2019-05-01,Delinquent
LN-0000293,MBR-000869,Auto Loan,61920.18,10.7,36,2023-09-01,Current
LN-0000294,MBR-000413,Auto Loan,33463.14,15.51,36,2018-11-25,Current
LN-0000295,MBR-000973,Credit Card,3990.18,14.38,0,2019-02-10,Current
LN-0000296,MBR-000215,Credit Card,11486.22,16.32,0,2021-12-24,Delinquent
LN-0000297,MBR-001040,Auto Loan,41164.56,,72,2023-11-16,Current
LN-0000298,MBR-000422,Student Loan,30554.46,8.4,120,2019-05-04,Current
LN-0000299,MBR-000909,Mortgage,81281.35,3.62,240,2024-09-18,Delinquent
LN-0000300,MBR-000217,Personal Loan,14260.6,10.92,48,2019-09-26,Current
LN-0000301,MBR-000787,Auto Loan,35953.37,5.25,48,2023-06-11,Current
LN-0000302,MBR-000218,Credit Card,601.12,15.07,0,2024-02-27,Current
LN-0000303,MBR-000031,Auto Loan,22642.91,16.09,48,2019-07-07,Current
LN-0000304,MBR-000249,Personal Loan,1913.23,17.9,48,2024-03-08,Current
LN-0000305,MBR-000797,Credit Card,10392.48,8.67,0,2019-04-30,Current
LN-0000306,MBR-000291,Auto Loan,11130.37,,72,2021-05-06,Delinquent
LN-0000307,MBR-000446,Auto Loan,10645.98,17.14,60,2019-10-04,Current
LN-0000308,MBR-001103,Credit Card,8879.37,7.68,0,2023-08-24,Current
LN-0000309,MBR-000871,Mortgage,379511.14,6.66,240,2020-07-25,Current
LN-0000310,MBR-000747,Credit Card,10857.45,17.84,0,2022-07-14,Delinquent
LN-0000311,MBR-000676,Auto Loan,39347.19,4.86,60,2018-03-11,Delinquent
LN-0000312,MBR-000532,Credit Card,2754.29,10.83,0,2019-05-16,Current
LN-0000313,MBR-000228,Auto Loan,51914.42,16.63,72,2021-09-11,Delinquent
LN-0000314,MBR-001020,Mortgage,206305.48,4.17,240,2018-07-06,Delinquent
LN-0000315,MBR-000786,Auto Loan,24851.24,7.74,60,2021-02-21,Current
LN-0000316,MBR-000905,Auto Loan,34259.48,4.39,72,2019-05-17,Current
LN-0000317,MBR-000471,Personal Loan,18343.84,,48,2021-07-26,Current
LN-0000318,MBR-000906,Auto Loan,12155.07,7.87,60,2023-02-24,Delinquent
LN-0000319,MBR-000532,Credit Card,6219.19,11.16,0,2023-01-21,Current
LN-0000320,MBR-000854,Personal Loan,4266.56,9.96,48,2020-04-27,Current
LN-0000321,MBR-000693,Auto Loan,39263.92,16.85,72,2022-09-07,Delinquent
LN-0000322,MBR-000884,Home Equity,127845.91,12.31,120,2018-05-04,Delinquent
LN-0000323,MBR-000479,Auto Loan,47553.54,14.81,48,2020-11-29,Current
LN-0000324,MBR-000297,personal loan,14865.05,14.26,36,2024-09-07,Default
LN-0000325,MBR-000393,Home Equity,114612.0,9.47,60,2023-04-25,Current
LN-0000326,MBR-000522,Auto Loan,56480.69,12.01,36,2020-09-15,Default
LN-0000327,MBR-000431,Credit Card,11368.9,5.39,0,2020-01-09,Current
LN-0000328,MBR-000212,Auto Loan,12275.64,10.24,60,2023-07-01,Current
LN-0000329,MBR-000118,Credit Card,2785.41,16.3,0,2019-04-13,Current
