payment_id,loan_id,due_date,payment_date,expected_amount,actual_amount,payment_status
PMT-00000077,LN-0002370,2023-06-21,2023-06-18,779.2,779.2,On Time
PMT-00000078,LN-0001630,2024-01-04,2024-01-04,1905.01,1905.01,On Time
PMT-00000079,LN-0000046,2022-05-20,2022-06-01,419.79,267.46,Partial
PMT-00000080,LN-0002485,2022-12-03,,1337.71,0.0,Missed
PMT-00000081,LN-0002095,2025-01-11,2025-01-11,210.61,210.61,On Time
PMT-00000082,LN-0001847,2022-05-09,,309.21,0.0,Missed
PMT-00000083,LN-0000956,2023-07-10,2023-08-21,364.83,364.83,Late
PMT-00000084,LN-0000539,2025-04-08,2025-04-08,448.79,448.79,On Time
PMT-00000085,LN-0002250,2023-10-14,2023-10-10,711.21,711.21,On Time
PMT-00000086,LN-0002521,2023-06-16,,5000.0,0.0,Missed
PMT-00000087,LN-0001738,2024-11-21,2024-11-21,338.14,338.14,On Time
PMT-00000088,LN-0002286,2025-07-27,2025-08-31,212.13,212.13,Late
PMT-00000089,LN-0001045,2025-09-07,2025-09-03,455.03,455.03,On Time
PMT-00000090,LN-0000425,2022-08-17,2022-08-16,310.85,310.85,On Time
PMT-00000091,LN-0002200,2022-06-24,2022-06-22,1502.59,1502.59,On Time
PMT-00000092,LN-0000643,2022-05-14,2022-05-28,269.99,269.99,Late
PMT-00000093,LN-0000352,2023-04-26,2023-05-28,96.41,96.41,Late
PMT-00000094,LN-0002621,2023-03-18,,451.73,0.0,Missed
PMT-00000095,LN-0001630,2024-05-20,2024-05-20,1905.01,1905.01,On Time
PMT-00000096,LN-0002763,2025-09-15,2025-09-15,1997.9,1997.9,On Time
PMT-00000097,LN-0002634,2024-06-02,2024-05-31,306.65,306.65,On Time
PMT-00000098,LN-0002058,2022-10-11,2022-10-09,1100.37,1100.37,On Time
PMT-00000099,LN-0000743,2022-09-15,2022-09-13,5000.0,5000.0,On Time
PMT-00000100,LN-0002262,2024-05-17,2024-05-17,5000.0,5000.0,On Time
PMT-00000101,LN-0001816,2022-07-08,2022-08-11,5000.0,5000.0,Late
PMT-00000102,LN-0002498,2022-10-16,2022-10-15,902.48,902.48,On Time
PMT-00000103,LN-0001293,2022-11-06,2022-11-01,392.27,392.27,On Time
PMT-00000104,LN-0002541,2023-01-23,2023-01-18,851.64,851.64,On Time
PMT-00000105,LN-0001029,2023-11-30,2023-11-27,1016.1,1016.1,On Time
PMT-00000106,LN-0000393,2022-05-15,2022-05-12,864.5,864.5,On Time
PMT-00000107,LN-0000741,2022-05-16,2022-05-15,643.99,643.99,On Time
PMT-00000108,LN-0002473,2022-01-04,2021-12-30,1457.15,1457.15,On Time
PMT-00000109,LN-0001751,2025-09-28,2025-09-23,570.86,570.86,On Time
PMT-00000110,LN-0001603,2023-09-02,2023-09-01,147.16,147.16,On Time
PMT-00000111,LN-0001213,2022-11-27,2022-11-22,115.32,115.32,On Time
PMT-00000112,LN-0001003,2023-05-13,2023-05-25,548.26,548.26,Late
PMT-00000113,LN-0000411,2022-11-25,2022-11-22,2172.49,2172.49,On Time
PMT-00000114,LN-0002441,2022-05-22,2022-05-21,1608.08,1608.08,On Time
PMT-00000115,LN-0002339,2024-07-08,2024-07-04,653.42,653.42,On Time
PMT-00000116,LN-0000008,2024-01-09,2024-01-09,119.71,119.71,On Time
PMT-00000117,LN-0000804,2023-01-18,2023-01-15,177.81,177.81,On Time
PMT-00000118,LN-0001256,2024-01-30,2024-01-26,2066.74,2066.74,On Time
PMT-00000119,LN-0002524,2024-11-11,2024-11-07,894.33,894.33,On Time
PMT-00000120,LN-0001718,2025-07-19,,603.12,0.0,Missed
PMT-00000121,LN-0001268,2025-04-01,2025-03-27,789.63,789.63,On Time
PMT-00000122,LN-0000795,2022-09-28,2022-10-27,485.76,485.76,Late
PMT-00000123,LN-0002596,2022-02-25,2022-02-25,935.97,935.97,On Time
PMT-00000124,LN-0002378,2023-08-27,2023-08-26,238.41,238.41,On Time
PMT-00000125,LN-0000367,2025-06-11,,599.08,0.0,Missed
PMT-00000126,LN-0000871,2025-08-08,2025-09-18,54.87,54.87,Late
PMT-00000127,LN-0002719,2024-09-16,2024-09-12,4878.9,4878.9,On Time
PMT-00000128,LN-0000849,2024-10-26,2024-10-21,923.12,923.12,On Time
PMT-00000129,LN-0000883,2024-11-13,2024-11-12,135.26,135.26,On Time
PMT-00000130,LN-0002441,2022-03-25,2022-03-20,1608.08,1608.08,On Time
PMT-00000131,LN-0002776,2024-01-23,2024-02-12,579.94,579.94,Late
PMT-00000132,LN-0001781,2025-02-18,2025-02-28,221.45,52.38,Partial
PMT-00000133,LN-0000157,2023-09-28,2023-09-30,624.02,624.02,LATE
PMT-00000134,LN-0002795,2023-07-08,,966.34,0.0,Missed
PMT-00000135,LN-0000822,2022-08-31,,3282.18,0.0,Missed
PMT-00000136,LN-0000985,2024-05-02,2024-04-29,382.25,382.25,On Time
PMT-00000137,LN-0000420,2022-08-09,2022-08-06,424.23,424.23,On Time
PMT-00000138,LN-0002587,2025-09-04,2025-09-13,1330.37,1330.37,Late
PMT-00000139,LN-0001942,2025-05-04,2025-05-11,491.08,491.08,Late
PMT-00000140,LN-0002546,2025-09-09,2025-09-04,474.12,474.12,On Time
PMT-00000141,LN-0002008,2025-08-10,2025-08-10,4099.79,4099.79,On Time
PMT-00000142,LN-0001510,2025-03-21,2025-03-21,1148.83,1148.83,On Time
PMT-00000143,LN-0002335,2022-02-25,,1064.06,0.0,Missed
PMT-00000144,LN-0002130,2022-01-28,2022-01-23,2846.11,2846.11,On Time
PMT-00000145,LN-0002711,2023-03-20,2023-03-30,780.59,351.12,Partial
PMT-00000146,LN-0001491,2025-07-17,,5000.0,0.0,Missed
PMT-00000147,LN-0002490,2024-10-06,2024-10-01,166.81,166.81,ON TIME
PMT-00000148,LN-0000137,2022-08-27,2022-08-24,165.46,165.46,On Time
PMT-00000149,LN-0000119,2024-01-05,2024-01-02,973.71,973.71,On Time
PMT-00000150,LN-0001263,2025-10-18,2025-11-02,607.54,325.86,Partial
PMT-00000151,LN-0002210,2022-02-05,,878.47,0.0,Missed
PMT-00000152,LN-0000177,2023-06-27,2023-06-26,776.84,776.84,On Time
PMT-00000153,LN-0001460,2022-07-19,2022-08-25,404.73,404.73,Late
PMT-00000154,LN-0001159,2022-03-06,,1020.01,0.0,Missed
PMT-00000155,LN-0001846,2025-10-08,2025-10-08,868.39,324.36,Partial
PMT-00000156,LN-0001514,2023-02-12,2023-02-12,254.01,254.01,ON TIME
PMT-00000157,LN-0002373,2022-05-31,2022-06-26,167.15,167.15,Late
PMT-00000158,LN-0002558,2025-10-20,2025-11-03,366.12,107.31,Partial
PMT-00000159,LN-0002066,2024-02-15,2024-02-15,196.31,196.31,On Time
PMT-00000160,LN-0000775,2025-05-26,2025-05-25,283.68,283.68,ON TIME
PMT-00000161,LN-0002109,2025-10-18,2025-11-25,700.93,700.93,Late
PMT-00000162,LN-0002212,2025-07-23,2025-07-22,1305.78,1305.78,On Time
PMT-00000163,LN-0002230,2022-04-03,2022-03-29,307.51,307.51,On Time
PMT-00000164,LN-0000339,2022-11-11,2022-11-10,138.58,138.58,On Time
PMT-00000165,LN-0002632,2023-09-19,2023-09-15,121.31,121.31,On Time
PMT-00000166,LN-0002132,2024-07-28,2024-08-01,670.53,165.34,Partial
PMT-00000167,LN-0002427,2023-12-16,2023-12-24,1134.51,1134.51,Late
PMT-00000168,LN-0000235,2022-05-28,2022-05-24,1449.75,1449.75,On Time
PMT-00000169,LN-0000308,2024-10-09,,5000.0,0.0,MISSED
PMT-00000170,LN-0002109,2024-01-03,2024-01-03,700.93,700.93,On Time
PMT-00000171,LN-0000554,2025-10-28,2025-10-25,624.1,624.1,On Time
PMT-00000172,LN-0002387,2023-08-06,2023-08-17,1096.47,1096.47,Late
PMT-00000173,LN-0002344,2024-02-28,2024-02-25,2026.99,2026.99,On Time
PMT-00000174,LN-0000415,2022-11-15,2022-12-30,33.75,33.75,Late
PMT-00000175,LN-0002221,2024-07-01,2024-06-26,828.09,828.09,On Time
PMT-00000176,LN-0000497,2023-11-14,2023-11-11,114.64,114.64,On Time
PMT-00000177,LN-0000449,2022-08-15,2022-08-12,5000.0,5000.0,On Time
PMT-00000178,LN-0001027,2022-03-19,2022-03-19,600.58,600.58,On Time
PMT-00000179,LN-0002773,2024-04-22,2024-05-01,1516.25,1516.25,Late
PMT-00000180,LN-0001692,2025-02-28,2025-02-23,855.63,855.63,On Time
PMT-00000181,LN-0000248,2022-01-04,2021-12-31,864.58,864.58,On Time
PMT-00000182,LN-0000094,2022-09-09,2022-09-08,934.86,934.86,On Time
PMT-00000183,LN-0001511,2025-07-05,2025-07-10,52.51,31.0,Partial
PMT-00000184,LN-0002651,2023-01-29,2023-01-26,5000.0,5000.0,On Time
PMT-00000185,LN-0001154,2024-03-16,,357.81,0.0,Missed
PMT-00000186,LN-0001994,2023-06-25,2023-08-06,5000.0,5000.0,Late
PMT-00000187,LN-0002099,2025-10-12,2025-10-10,999.77,638.09,Partial
PMT-00000188,LN-0000031,2025-06-13,2025-07-01,1167.92,1167.92,Late
PMT-00000189,LN-0001786,2025-01-17,2025-01-13,1961.02,1961.02,On Time
PMT-00000190,LN-0000734,2022-06-25,2022-06-24,697.78,697.78,On Time
PMT-00000191,LN-0000501,2022-04-14,,928.0,0.0,Missed
PMT-00000192,LN-0001433,2024-08-01,,502.7,0.0,Missed
PMT-00000193,LN-0000345,2024-02-04,2024-01-30,1482.9,1482.9,On Time
PMT-00000194,LN-0001508,2022-12-09,2022-12-26,627.9,627.9,Late
PMT-00000195,LN-0000565,2022-07-16,2022-07-12,1535.53,1535.53,On Time
PMT-00000196,LN-0002149,2024-09-09,2024-09-24,412.92,248.58,Partial
PMT-00000197,LN-0000635,2025-06-18,2025-06-16,135.17,135.17,On Time
PMT-00000198,LN-0000436,2025-08-31,2025-09-17,1320.68,1320.68,Late
PMT-00000199,LN-0001375,2024-10-01,2024-09-26,364.83,364.83,On Time
PMT-00000200,LN-0001192,2024-01-14,2024-01-16,311.48,223.65,Partial
PMT-00000201,LN-0000896,2022-05-04,,4209.79,0.0,Missed
PMT-00000202,LN-0000065,2022-02-01,2022-01-28,2782.49,2782.49,On Time
PMT-00000203,LN-0001260,2023-01-14,2023-01-10,901.33,901.33,On Time
PMT-00000204,LN-0002777,2025-10-18,2025-10-15,541.62,541.62,On Time
PMT-00000205,LN-0000566,2022-09-30,,260.65,0.0,Missed
PMT-00000206,LN-0002706,2022-09-17,2022-09-17,1315.86,1315.86,On Time
PMT-00000207,LN-0002552,2025-08-25,2025-08-24,528.55,528.55,On Time
PMT-00000208,LN-0001843,2023-01-12,2023-01-12,693.83,693.83,On Time
PMT-00000209,LN-0001253,2022-06-09,2022-06-06,1200.83,1200.83,ON TIME
PMT-00000210,LN-0001780,2023-08-17,2023-08-15,449.29,449.29,On Time
PMT-00000211,LN-0001651,2023-01-25,2023-01-23,552.02,552.02,On Time
PMT-00000212,LN-0001815,2022-08-20,,1174.57,0.0,Missed
PMT-00000213,LN-0001287,2022-04-08,2022-05-01,1084.31,1084.31,Late
PMT-00000214,LN-0000390,2022-05-16,2022-05-14,1359.89,1359.89,On Time
PMT-00000215,LN-0001155,2022-10-19,2022-10-19,902.52,902.52,On Time
PMT-00000216,LN-0000916,2023-04-28,2023-05-07,129.61,129.61,Late
PMT-00000217,LN-0001248,2023-04-21,2023-04-19,1423.91,1423.91,On Time
PMT-00000218,LN-0001767,2024-04-11,2024-05-21,1199.28,1199.28,Late
PMT-00000219,LN-0002778,2023-09-22,,608.47,0.0,Missed
PMT-00000220,LN-0001998,2022-08-23,2022-08-22,1188.18,1188.18,On Time
PMT-00000221,LN-0000279,2022-08-14,2022-08-12,151.76,151.76,On Time
PMT-00000222,LN-0000983,2025-04-08,2025-04-04,256.97,256.97,On Time
PMT-00000223,LN-0001512,2024-11-22,2024-11-18,2098.35,2098.35,On Time
PMT-00000224,LN-0001652,2022-12-31,2023-01-20,348.86,348.86,Late
PMT-00000225,LN-0001170,2024-02-10,2024-02-24,1221.29,1221.29,Late
PMT-00000226,LN-0001892,2025-08-17,2025-08-14,599.19,599.19,On Time
PMT-00000227,LN-0000095,2024-01-02,2024-02-01,1209.31,1209.31,Late
PMT-00000228,LN-0002039,2024-12-18,2024-12-15,410.73,410.73,On Time
PMT-00000229,LN-0001997,2023-06-18,2023-07-27,777.55,777.55,Late
PMT-00000230,LN-0000947,2024-06-23,2024-06-19,79.45,79.45,On Time
PMT-00000231,LN-0000214,2023-08-10,2023-08-08,294.94,294.94,On Time
PMT-00000232,LN-0000479,2022-09-02,2022-08-28,5000.0,5000.0,On Time
PMT-00000233,LN-0002007,2024-06-21,2024-07-10,251.0,251.0,Late
PMT-00000234,LN-0002409,2024-05-05,2024-05-04,172.6,172.6,On Time
PMT-00000235,LN-0000514,2024-08-05,,1735.2,0.0,Missed
PMT-00000236,LN-0002597,2025-08-03,2025-08-02,697.96,697.96,On Time
PMT-00000237,LN-0000429,2023-10-13,2023-10-10,96.99,96.99,On Time
PMT-00000238,LN-0000875,2023-11-18,2023-11-18,934.37,934.37,On Time
PMT-00000239,LN-0002447,2024-07-24,2024-07-26,5000.0,5000.0,Late
PMT-00000240,LN-0000250,2024-09-02,,462.14,0.0,Missed
PMT-00000241,LN-0002585,2025-08-03,2025-07-30,309.01,309.01,On Time
PMT-00000242,LN-0001987,2023-02-06,2023-02-03,1512.76,1512.76,On Time
PMT-00000243,LN-0001440,2025-04-18,2025-04-18,877.93,877.93,On Time
PMT-00000244,LN-0001464,2024-02-22,2024-02-18,901.23,901.23,On Time
PMT-00000245,LN-0001401,2025-08-15,,479.99,0.0,Missed
PMT-00000246,LN-0000429,2024-10-17,2024-10-17,96.99,96.99,On Time
PMT-00000247,LN-0000640,2025-08-24,2025-08-20,703.63,703.63,On Time
PMT-00000248,LN-0000885,2024-06-15,2024-06-14,5000.0,5000.0,On Time
PMT-00000249,LN-0000097,2023-01-14,2023-01-11,2017.68,2017.68,On Time
PMT-00000250,LN-0002339,2024-04-11,2024-04-07,653.42,653.42,On Time
PMT-00000251,LN-0000253,2022-08-07,2022-09-09,551.28,551.28,Late
PMT-00000252,LN-0001685,2024-07-13,2024-07-22,1076.67,499.01,Partial
PMT-00000253,LN-0000659,2022-08-29,2022-09-20,5000.0,5000.0,Late
PMT-00000254,LN-0002549,2023-02-04,2023-02-08,1779.63,-1779.63,Late
PMT-00000255,LN-0001423,2022-03-27,2022-03-26,706.01,706.01,On Time
PMT-00000256,LN-0002757,2023-11-19,,629.51,0.0,Missed
PMT-00000257,LN-0001439,2022-09-17,2022-09-14,889.68,889.68,On Time
PMT-00000258,LN-0000424,2022-02-25,2022-04-10,297.26,297.26,Late
PMT-00000259,LN-0001538,2024-10-03,2024-09-28,69.84,69.84,On Time
PMT-00000260,LN-0001688,2022-10-22,2022-10-18,2052.85,2052.85,On Time
PMT-00000261,LN-0001910,2023-10-08,2023-10-06,721.48,721.48,On Time
PMT-00000262,LN-0002362,2024-04-15,2024-04-14,1076.64,1076.64,On Time
PMT-00000263,LN-0001109,2025-10-22,2025-11-09,42.77,42.77,Late
PMT-00000264,LN-0002029,2022-04-06,,219.2,0.0,Missed
PMT-00000265,LN-0000186,2024-07-21,2024-07-17,140.85,140.85,On Time
PMT-00000266,LN-0002531,2025-05-08,,226.16,0.0,Missed
PMT-00000267,LN-0001640,2024-09-23,2024-10-03,251.09,74.98,Partial
PMT-00000268,LN-0001606,2025-08-06,2025-08-05,508.68,508.68,On Time
PMT-00000269,LN-0002059,2024-11-22,2024-11-17,440.1,440.1,On Time
PMT-00000270,LN-0002675,2023-12-18,2023-12-17,1542.41,1542.41,On Time
PMT-00000271,LN-0000912,2024-01-16,2024-01-20,154.5,46.14,Partial
PMT-00000272,LN-0001105,2023-08-10,2023-08-12,5000.0,5000.0,Late
PMT-00000273,LN-0000767,2023-06-25,2023-06-25,631.7,631.7,On Time
PMT-00000274,LN-0001679,2022-03-12,2022-03-07,475.73,475.73,On Time
PMT-00000275,LN-0001713,2022-08-03,2022-08-03,805.98,805.98,On Time
PMT-00000276,LN-0000532,2024-08-14,2024-08-10,858.39,858.39,On Time
PMT-00000277,LN-0000229,2022-09-28,2022-09-25,3938.38,3938.38,On Time
PMT-00000278,LN-0001580,2025-06-08,,420.75,0.0,Missed
PMT-00000279,LN-0002742,2024-02-18,2024-02-14,273.05,273.05,On Time
PMT-00000280,LN-0002712,2025-08-21,2025-09-14,5000.0,5000.0,Late
PMT-00000281,LN-0000183,2023-06-28,2023-06-26,391.15,391.15,On Time
PMT-00000282,LN-0002705,2024-04-28,2024-04-23,249.02,249.02,On Time
PMT-00000283,LN-0001694,2022-12-11,2022-12-09,1014.25,1014.25,On Time
PMT-00000284,LN-0001124,2024-03-24,2024-04-14,1081.6,1081.6,Late
PMT-00000285,LN-0000040,2023-08-26,2023-08-23,320.43,320.43,On Time
PMT-00000286,LN-0002430,2022-03-06,,541.83,0.0,Missed
PMT-00000287,LN-0000964,2022-12-27,,372.69,0.0,Missed
PMT-00000288,LN-0000292,2022-08-25,2022-08-23,1372.05,1372.05,On Time
PMT-00000289,LN-0001424,2025-05-19,2025-07-02,214.72,214.72,Late
PMT-00000290,LN-0002383,2022-06-08,2022-06-05,109.72,109.72,On Time
PMT-00000291,LN-0000536,2025-05-27,2025-05-24,5000.0,5000.0,On Time
PMT-00000292,LN-0002261,2024-06-26,2024-06-24,611.7,611.7,On Time
PMT-00000293,LN-0002007,2024-04-09,2024-04-07,251.0,251.0,On Time
PMT-00000294,LN-0001492,2024-12-02,,866.46,0.0,Missed
PMT-00000295,LN-0000965,2024-06-11,2024-06-09,846.53,846.53,On Time
PMT-00000296,LN-0002716,2023-08-02,2023-07-29,687.21,687.21,On Time
PMT-00000297,LN-0001933,2024-11-13,2024-11-13,152.6,152.6,On Time
PMT-00000298,LN-0002361,2023-01-09,,1325.23,0.0,Missed
PMT-00000299,LN-0002640,2024-11-26,2024-11-21,955.32,955.32,On Time
PMT-00000300,LN-0001376,2023-05-04,2023-04-29,63.11,63.11,On Time
PMT-00000301,LN-0001494,2022-01-28,2022-01-28,332.1,332.1,On Time
PMT-00000302,LN-0001151,2024-08-21,,1730.96,0.0,Missed
PMT-00000303,LN-0000962,2023-03-31,2023-03-26,477.32,477.32,On Time
PMT-00000304,LN-0000885,2024-08-25,2024-08-21,5000.0,5000.0,On Time
PMT-00000305,LN-0002371,2022-12-26,2023-02-08,1613.1,1613.1,Late
PMT-00000306,LN-0002062,2025-06-28,2025-06-27,807.18,807.18,On Time
PMT-00000307,LN-0001707,2022-09-15,2022-09-15,1184.64,1184.64,On Time
PMT-00000308,LN-0001619,2025-03-21,,5000.0,0.0,Missed
PMT-00000309,LN-0001268,2022-03-02,2022-03-14,789.63,789.63,Late
PMT-00000310,LN-0002528,2023-12-09,2023-12-04,170.54,170.54,On Time
PMT-00000311,LN-0000309,2025-09-23,2025-09-22,1581.3,1581.3,On Time
PMT-00000312,LN-0000127,2025-05-13,2025-05-13,1077.51,1077.51,On Time
PMT-00000313,LN-0000852,2023-04-19,2023-04-15,195.84,195.84,On Time
PMT-00000314,LN-0001238,2023-11-06,,368.77,0.0,Missed
PMT-00000315,LN-0001061,2022-10-06,2022-10-02,1115.77,1115.77,On Time
PMT-00000316,LN-0001984,2023-01-03,2022-12-30,5000.0,5000.0,On Time
PMT-00000317,LN-0001427,2023-05-03,2023-04-28,69.67,69.67,On Time
PMT-00000318,LN-0002370,2023-01-20,2023-02-01,779.2,779.2,Late
PMT-00000319,LN-0001039,2024-01-11,2024-01-11,70.26,70.26,On Time
PMT-00000320,LN-0000281,2024-05-14,2024-05-12,1353.18,1353.18,On Time
PMT-00000321,LN-0002429,2023-10-28,,657.55,0.0,Missed
PMT-00000322,LN-0001746,2022-01-10,2022-01-22,1752.13,1349.53,Partial
PMT-00000323,LN-0002356,2024-04-11,2024-04-08,318.46,318.46,On Time
PMT-00000324,LN-0002787,2022-07-11,2022-07-07,2089.96,2089.96,On Time
PMT-00000325,LN-0000016,2024-07-17,2024-07-17,334.77,334.77,On Time
PMT-00000326,LN-0000358,2025-01-05,2025-01-03,292.2,292.2,On Time
PMT-00000327,LN-0000223,2024-04-21,2024-05-05,4218.16,1938.58,Partial
PMT-00000328,LN-0000260,2024-02-14,2024-02-14,609.6,609.6,On Time
PMT-00000329,LN-0001478,2023-12-29,2024-02-05,1008.25,1008.25,Late
PMT-00000330,LN-0001553,2024-04-24,2024-04-22,449.36,449.36,On Time
PMT-00000331,LN-0000809,2024-02-14,2024-02-11,312.72,312.72,On Time
PMT-00000332,LN-0001424,2022-08-02,,214.72,0.0,Missed
PMT-00000333,LN-0001102,2023-02-08,,816.47,0.0,Missed
PMT-00000334,LN-0002487,2022-08-01,,1743.16,0.0,Missed
PMT-00000335,LN-0002038,2024-08-16,2024-08-13,1422.62,1422.62,On Time
PMT-00000336,LN-0000742,2022-10-25,2022-10-21,1151.25,1151.25,On Time
PMT-00000337,LN-0002645,2022-08-09,2022-09-16,866.52,866.52,Late
PMT-00000338,LN-0002103,2022-07-09,2022-08-22,291.01,291.01,Late
PMT-00000339,LN-0001055,2024-06-27,2024-06-25,529.13,529.13,On Time
PMT-00000340,LN-0000724,2025-04-25,2025-05-10,122.35,64.14,Partial
PMT-00000341,LN-0000843,2023-04-27,2023-04-22,422.18,422.18,On Time
PMT-00000342,LN-0001322,2022-06-29,2022-07-10,935.28,365.41,Partial
